ProductGroupID,ProductGroupName,ProductGroupNameENG,ProductGroupStatus
A012003,"สว่านไร้สาย 12 โวลต์","12V Cordless Drill",Active
A012004,"สว่านไร้สาย 20 โวลต์","20V Cordless Drill",Active
A012005,"สว่านกระแทกไร้สาย 16 โวลต์","16V Cordless Impact Drill",Active
A012006,"สว่านกระแทกไร้สาย 20 โวลต์","20V Cordless Impact Drill",Active
A012007,"ไขควงไร้สาย 4 โวลต์","4V Cordless Screwdriver",Active
A013001,แท่นตัดหินอ่อน/แท่นตัดกระเบื้อง,"Mable and Tile cutter",Active
A014001,พัดลม,Fan,Active
A015001,"ไฟฉาย / ไฟสปอร์ตไลท์ / ไฟLED / โคมไฟ","Flashlight / Spotlight / LED light / Lamp",Active
A016001,เครื่องกำเนิดไฟฟ้า,Generator,Active
A017001,กรรไกรตัดกิ่งไร้สาย,"Cordless Pruning Shear",Active
A017002,เลื่อยโซ่ไร้สาย,"Cordless Chainsaw",Active
A018001,ประแจด้ามฟรีไร้สาย,"Cordless Ratchet Wrench",Active
A018002,บล็อกกระแทกมุมฉากไร้สาย,"Cordless ANGLE IMPACT WRENCH",Active
A019001,บล็อกกระแทกไร้สาย,"Cordless Impact Wrench",Active
A020001,"แบตเตอรี่ 12 โวลต์","12V Battery",Active
A020002,"อุปกรณ์ชาร์จ 12 โวลต์","12V Charger",Active
A020003,"แบตเตอรี่ 16 โวลต์","16V Battery",Active
A020004,"อุปกรณ์ชาร์จ 16 โวลต์","16V Charger",Active
A020005,"แบตเตอรี่ 20 โวลต์","20V Battery",Active
A020006,"อุปกรณ์ชาร์จ 20 โวลต์","20V Charger",Active
A020007,"อุปกรณ์ชาร์จ 4 โวลต์","4V Charger",Active
A020008,"แบตเตอรี่และอุปกรณ์ชาร์จ 20 โวลต์","20V Batteries & Chargers",Active
A021001,อุปกรณ์เสริมเครื่องฉีดน้ำแรงดัน,"Accessories for Pressure Washers",Active
A021002,หัวสว่าน,"Drill Bits",Active
A022001,เครื่องขัดหน้าปูนฉาบ,"Plaster Sander",Active
A023001,"เครื่องยิงตะปูไฟฟ้าไร้สาย 20  โวลต์","20V Cordless Electric Nail Gun",Active
A023002,"เครื่องดูด-สั่นกระเบื้องไร้สาย 16.8 โวลต์","16.8V Cordless Tile Vibrator with Vacuum",Active
A023003,"เครื่องยิงรีเวทไร้สาย 20  โวลต์","20V Cordless Rivet Gun",Active
A023004,"เครื่องดูด-สั่นกระเบื้องไร้สาย 4 โวลต์","4V Cordless Tile Vibrator with Vacuum",Active
A023005,"เครื่องดูด-สั่นกระเบื้องไร้สาย 12 โวลต์","12V Cordless Tile Vibrator with Vacuum",Active
A023006,"เครื่องดูด-สั่นกระเบื้องไร้สาย 20 โวลต์","20V Cordless Tile Vibrator with Vacuum",Active
A023007,"เครื่องยิงตะปูคอนกรีตไร้สาย20 โวลต์","20V Cordless Concrete Nailer",Active
A024001,"เครื่องมือไร้สายงานสวน 20 โวลต์","20V Cordless Garden Tools",Active
A024002,"เครื่องขัดอเนกประสงค์ไร้สาย 4 โวลต์","4V Cordless Multi Sander",Active
A024003,"เครื่องมือไร้สายงานสวน 20 โวลต์","20V Cordless Garden Tools",Active
A024004,เครื่องขัดไม้,"Wood Sander",Active
A024006,"ไขควงกระแทกไร้สาย 20 โวลต์","20V Cordless Impact Driver",Active
A024007,"สว่านโรตารี่ /เจียรมือ/ สว่านกระแทกไร้สาย 20 โวลต์","20V Cordless Rotary Hammer / Angle Grinder / Impact Drill",Active
A024008,"สว่านโรตารี่/เจียรมือ/สว่านกระแทก/ไขควงกระแทกไร้สาย 20 โวลต์","20V Cordless Rotary Hammer / Angle Grinder / Impact Drill / Impact Driver",Active
A024009,"สว่านโรตารี่-เจียรมือไร้สาย 20 โวลต์","20V Cordless Rotary Hammer & Angle Grinder",Active
A024010,"สว่านโรตารี่-เจียรมือ-สว่านกระแทกไร้สาย 20 โวลต์","20V Cordless Rotary Hammer / Angle Grinder / Impact Drill",Active
A024011,สว่านไร้สาย,"Cordless Drill",Active
A024012,"สว่านกระแทก-เจียรมือไร้สาย 20 โวลต์","20V Cordless Impact Drill & Angle Grinder",Active
A024013,"สว่านกระแทก-ไขควงกระแทกไร้สาย 20 โวลต์","20V Cordless Impact Drill & Impact Driver",Active
A025001,"สว่านโรตารี่-สกัดไร้สาย 20 โวลต์","20V Cordless Rotary Hammer Drill",Active
A026001,"บล็อกกระแทกไร้สาย 20 โวลต์","20V Cordless Impact Wrench",Active
A026002,"เครื่องสูบลมยางไร้สาย 20 โวลต์","20V Cordless Tire Inflator",Active
A026003,"ประแจบล็อกไร้สาย 20 โวลต์","20V Cordless Socket Wrench",Active
A026004,"บล็อกกระแทกมุมฉากไร้สาย 20 โวลต์","20V Cordless Right Angle Impact Wrench",Active
A027001,"เครื่องเจียร / เครื่องขัด ไร้สาย 20 โวลต์","20V Cordless Angle Grinder / Polisher",Active
A028001,"สว่านกระแทก-ไขควงไร้สาย 20 โวลต์","20V Cordless Impact Drill Driver",Active
A029001,"เครื่องเลื่อยไม้ไร้สาย 12 โวลต์","12V Cordless Wood Saw",Active
A029002,"เครื่องเลื่อยไม้ไร้สาย 20 โวลต์","20V Cordless Wood Saw",Active
A029003,"เครื่องเซาะร่องไม้ไร้สาย 20 โวลต์","20V Cordless Wood Router",Active
A029004,"เครื่องไสไม้ไร้สาย 20 โวลต์","20V Cordless Planer",Active
A029005,"เครื่องขัดไม้ไร้สาย 20 โวลต์","20V Cordless Wood Sander",Active
A030001,"เครื่องฉีดน้ำแรงดันสูง-ไร้สาย 20  โวลต์","20V Cordless Pressure Washer",Active
A031001,"เครื่องดูดฝุ่น-ไร้สาย 20  โวลต์","20V Cordless Vacuum Cleaner",Active
A031002,"เครื่องเป่าลม-ไร้สาย 20  โวลต์","20V Cordless Air Blower",Active
A031003,"เครื่องดูดฝุ่น-ไร้สาย 20  โวลต์","20V Cordless Vacuum Cleaner",Active
A031004,"เครื่องเป่าลมร้อน-ไร้สาย 20  โวลต์","20V Cordless Heat Gun",Active
A031005,"เครื่องเป่าลม-ดูดฝุ่นไร้สาย 20  โวลต์","20V Cordless Blower & Vacuum",Active
A032001,"เครื่องพ่นสีไร้สาย 20 โวลต์","20V Cordless Paint Sprayer",Active
A034001,เครื่องยิงตะปู,"Nail Gun",Active
A035001,"ลำโพงไร้สาย 20 โวลต์","20V Cordless BT Speaker",Active
B001001,"ชุดดอกเจียร Netto","Netto Grinder",Active
B001002,"ชุดดอกเจียร Texas Bull","Texas Buller",Active
B002001,ข้อต่อหัวสว่าน,"Drill Bit",Active
B002002,ดอกคัตเตอร์ฟันคาร์ไบด์,"Carbide Cutter",Active
B002003,ดอกนำศูนย์,"Lead Center",Active
B003001,ดอกเจาะไม้สี่เหลี่ยม,"Drill Square",Active
B004001,"ดอกสกัดคอนกรีต Hex แบน","Hex Concrete Block",Active
B004002,"ดอกสกัดคอนกรีต Hex แหลม","Hex Concrete Cutter",Active
B004003,"ดอกสกัดคอนกรีต Sds-Max แบน","Sds-Max Flat Concrete Blade",Active
B004004,"ดอกสกัดคอนกรีต Sds-Max แหลม","Sds-Max Concrete Cutter",Active
B004005,ดอกสกัดเซาะร่องไร้ฝุ่น,"Dust Extraction Groove.",Active
B004006,"ดอกสกัดโรตารี่ แบน","Rotary Cutter",Active
B004007,"ดอกสกัดโรตารี่ แหลม","Rotary Cutter",Active
B005001,ดอกสว่านโคบอลต์(มิล),"Cobalt Drill (Mil)",Active
B005002,ดอกสว่านโคบอลต์(หุน),"Cobalt Drill Bits",Active
B006001,ดอกสว่านเจาะกระจก,"Glass Drill",Active
B007001,ดอกสว่านเจาะปูนแกนกลม,"Drill Bits",Active
B007002,"ดอกสว่านโรตารี่ Sds Plus","Rotary Hammer Sds Plus",Active
B007003,"ดอกสว่านโรตารี่ Sds X","Rotary Hammer Sds X",Active
B008001,"ดอกสว่านเจาะสแตนเลสกล่องเขียว (หุน)","Stainless Steel Drill (Green)",Active
B008002,"ดอกสว่านเจาะสแตนเลสกล่องแดง (หุน)","Stainless Steel Drill (Red)",Active
B008003,"ดอกสว่านเจาะเหล็กกล่องเขียว (มิล)","Steel Drill Hammer (Green)",Active
B009001,"ดอกสว่านเจาะเหล็กสีดำ (หุน)","Black Drill Hammer",Active
B010001,ใบเพชรตัดหินอ่อน,"Diamond Cut Diamond Blade",Active
B011001,ใบมีดกบไฟฟ้า,"Frog Knife",Active
B012001,ใบมีดตัดหญ้า,Mower,Active
B012002,"ใบมีดตัดหญ้า 4"" 3รู","4 ""Mower Cutter",Active
B013001,"ใบเลื่อยจิ๊กซอว์ Rs","Jigsaw Saw Rs Jigsaw",Active
B013002,"ใบเลื่อยจิ๊กซอว์ ตัดไม้","Saw Blade Jigsaw",Active
B013003,"ใบเลื่อยจิ๊กซอว์ ตัดเหล็ก","Saw Blade, Steel Cutting Jigsaw",Active
B014001,ใบเลื่อยวงเดือนตัดไม้,"Saw Blade",Active
B014002,ใบเลื่อยวงเดือนตัดเหล็ก,"Circular Saw Blades",Active
B014003,"ใบเลื่อยวงเดือนตัดเหล็ก / สแตนเลส","Circular Saw Blade Cut Steel / Stainless Steel.",Active
B014004,ใบเลื่อยวงเดือนตัดอลูมิเนียม,"Circular Saw Blade Cutting",Active
B014005,ใบเลื่อยวงเดือนตัดสแตนเลส,"Saw Blade Aluminium",Active
B015001,"กระดาษทรายซ้อน หลังแข็ง","Sandpaper Disc, Hard Backing",Active
B015002,"กระดาษทรายซ้อน หลังอ่อน","Sandpaper Disc, Soft Backing",Active
B015003,แผ่นเจียรหนา,"Thickness Grinder",Active
B015004,แผ่นเจียรอ่อน,"Soft Grinding",Active
B015005,แผ่นตัด,"Cutting Board",Active
B015006,ถ้วยเพชรขัดพื้น,"Diamond cup wheel",Active
B016001,กระบอกฉีดน้ำ,"Spray Bottle",Active
B016002,"ตัวนำร่องเจาะกระเบื้อง Pumpkin","Pumpkin Tile Drill Pilot",Active
B016003,"โฮลซอเจาะกระเบื้อง 16ถึง85 มม.","Holos Drilling Tile 16 To 85 Mm",Active
B016004,"โฮลซอเจาะกระเบื้อง 4ถึง12 มม.","Hole Saw Tile 4 To 12 Mm",Active
B017001,โฮลซอเจาะดาวไลท์,"Holiday Star Hole",Active
B017002,โฮลซอเจาะไม้,"Hole Drill",Active
B017003,โฮลซอเจาะลูกบิด,"Hole Drill Knob",Active
B017004,โฮลซอเจาะสแตนเลส,"Holographic Drilling Stainless Steel",Active
B017005,โฮลซอเจาะสแตนเลสลึกพิเศษ,"Stainless Steel Special Depth Hole Saw",Active
B017006,โฮลซอเจาะเหล็ก,"Steel Hole Saw",Active
B018001,ดอกเจาะขยายรูขั้นบันได,"Step Drill",Active
B019001,ดอกเจาะไม้ใบพาย,"Flat Wood Drill Bits",Active
C001001,กรรไกรตัดเหล็กเส้น,"Bolt Cutter",Active
C001002,กรรไกรตัดเหล็กเส้นมินิ,"Mini Bolt Cutter",Active
C001003,กรรไกรตัดเหล็กอเนกประสงค์,"Multi-Purpose Snip",Active
C002001,"กรรไกรตัดท่อ Pvc","Pvc Cutter",Active
C002002,"ใบมีดกรรไกรตัดท่อ Pvc","Pvc Cutter Shears",Active
C003001,"เกียงฉาบฝ้า / ปูกระเบื้องยาง","Gypsum Ceiling / Tile",Active
C003002,เกียงโป้วสี,Rainbow,Active
C003003,เกียงสามเหลี่ยม,"Triangular Triangle",Active
C003004,เกียงสี่เหลี่ยม,Squares,Active
C003005,เกียงหวีสามเหลี่ยม,"Triangular Comb Triangle",Active
C004001,ขวานด้ามไฟเบอร์,"Fiber Hook",Active
C004002,ขวานด้ามไม้,"Wooden Handle",Active
C005001,ค้อนช่างเคาะด้ามไฟเบอร์,"Hammer Knuckle Fiber Holder",Active
C005002,ค้อนช่างทองด้ามไฟเบอร์,"Hammer Goldsmith",Active
C005003,ค้อนช่างทองด้ามไม้,"Gold Plated Hammer",Active
C005004,ค้อนตุ้มหัวกลม,Spoon,Active
C005005,ค้อนปอนด์,Hammer,Active
C005006,ค้อนไม้,"Wooden Hammer",Active
C005007,หัวค้อนปอนด์,Hammer,Active
C006001,ค้อนหงอนด้ามไฟเบอร์,"Fiber Rope Hammer",Active
C006002,ค้อนหงอนด้ามไฟเบอร์หุ้มpvc,"Pvc Cradle",Active
C006003,ค้อนหงอนด้ามไม้,Hammer,Active
C006004,หัวค้อนหงอน,"Hammer Head",Active
C007001,คีมคัดคลองเลื่อย,Pliers,Active
C007002,คีมตัดตะปู,"Nail Cutter",Active
C007003,คีมผูกลวด,"Wire Ties",Active
C008001,คีมย้ำ,Pliers,Active
C008002,ตะปูรีเวท,Steak,Active
C008003,หัวคีมย้ำ,"Head Pliers",Active
C009001,"เครื่องตัดหินอ่อน / กระเบื้องไฟฟ้า","Marble Cutter / Electric Tile",Active
C009002,เครื่องตัดอิฐบล็อค,"Brick Cutter",Active
C009003,เครื่องมืองานกระเบื้อง,"Tile Tool",Active
C009004,แท่นตัดกระเบื้อง,"Tile Cutter",Active
C009005,"แท่นตัดกระเบื้อง Texas Bull","Texas Bull Tile Bullet",Active
C009006,"แท่นตัดกระเบื้อง แกนh Jh / Ah","Tile Cutter H Jh / Ah",Active
C009007,"แท่นตัดกระเบื้อง ด้ามโค้ง Jp / Jn","Tile Cutter Jp / Jn",Active
C009008,"แท่นตัดกระเบื้อง ด้ามตรง Aec","Tile Cutter Straight Aec",Active
C009009,"แท่นตัดกระเบื้อง ด้ามตรง Ea","Tile Cutter Handle Ea",Active
C009010,"แท่นตัดกระเบื้อง ด้ามตรง Ex","Ex Tile Cutting Board",Active
C009011,"แท่นตัดกระเบื้อง ด้ามตรง Mc","Tile Cutter Handle Mc",Active
C009012,ใบตัดเพชร,"Diamond Cutter",Active
C009013,ใบมีดแท่นตัดกระเบื้อง,"Tile Cutter",Active
C009014,อะไหล่แท่นตัดกระเบื้อง,"Tile Cutting Unit",Active
C010001,ที่ดูดกระจก,"Glass Sucker",Active
C010002,มีดกรีดกระจก,"Glass Knife",Active
C011001,เครื่องตรวจสอบวัตถุ,"Object Inspector",Active
C011002,"เครื่องวัดระดับ / อุปกรณ์เสริม","Level Meter",Active
C011003,เครื่องวัดระยะ,Gauges,Active
C011004,ระดับน้ำเลเซอร์,"Laser Water Level",Active
C012001,ฉากวัดไม้หน้าใหญ่,"Big Wooden Temple",Active
C012002,ฉากวัดไม้เอนกประสงค์,"Multi-Purpose Wooden Temple",Active
C012003,ฉากสามเหลี่ยมโบกปูนหลังโค้ง,"Triangle Scene Waving The Curve.",Active
C012004,ฉากสามเหลี่ยมโบกปูนหลังเหลี่ยม,"Triangle Waving Triangles.",Active
C013001,"ตลับเมตร Antz-Man",Antz-Man,Active
C013002,"ตลับเมตร Bb","Bb Meter",Active
C013003,"ตลับเมตร Cnd","Cnd Meter",Active
C013004,"ตลับเมตร Da","Da Cartridge",Active
C013005,"ตลับเมตร E","E Meter Cartridge",Active
C013006,"ตลับเมตร Eagle One","Eagle One",Active
C013007,"ตลับเมตร Emperor","Emperor Ink Cartridges",Active
C013008,"ตลับเมตร Empire","Empire Meter",Active
C013009,"ตลับเมตร Ironman","Ironman Meter",Active
C013010,"ตลับเมตร Turbo",Turbo,Active
C013011,"ตลับเมตร Magic-Grip","Magic-Grip Magnetic Cartridge",Active
C013012,"ตลับเมตร Mh","Mh Cartridge",Active
C013013,"ตลับเมตร Nd / Tj / Mt","Measuring Cartridges Nd / Tj / Mt",Active
C013014,"ตลับเมตร Nt","Nt Meter",Active
C013015,"ตลับเมตร Ny","Ny Meter",Active
C013016,"ตลับเมตร Origin","Origin Meter",Active
C013017,"ตลับเมตร Pc","Pc Meter",Active
C013018,"ตลับเมตร Pk","Pk Meter",Active
C013019,"ตลับเมตร Pr","Pr Meter Cartridge",Active
C013020,"ตลับเมตร R","R Meter",Active
C013021,"ตลับเมตร S","S Meter",Active
C013022,"ตลับเมตร Spark","Spark Meter",Active
C013023,"ตลับเมตร Sq","Sq Meter",Active
C013024,"ตลับเมตร Texas Bull","Texas Bullet",Active
C013025,"ตลับเมตร Tr","Tr Meter",Active
C013026,"ตลับเมตร Ts","Ts Cartridge",Active
C013027,"ตลับเมตร Tsm","Tsm Meter",Active
C013028,"ตลับเมตร X",X-Cartridge,Active
C013029,"ตลับเมตร หมอดู","Proof Meter",Active
C013030,"ตลับเมตรpumpkin Pro-Assist Pro","Pumpkin Pro-Assist Pro",Active
C013031,ตลับเมตรอัจฉริยะ,"Intelligent Meter",Active
C013032,ลูกดิ่ง,Plumb,Active
C013033,ลูกดิ่งแม่เหล็ก,"Magnetic Plumb",Active
C013034,"ตลับเมตร XTREME","XTREME Measuring Tape",Active
C014001,เทปวัดที่สายใยแก้ว,"Tape Measure At Fiber Glass.",Active
C014002,เทปวัดที่สายใยแก้วหน้าใหญ่,"Tape Measure At The Fiberglass Front.",Active
C014003,เทปวัดที่สายเหล็ก,"Tape Measure At Steel Wire",Active
C014004,"เทปวัดที่สายเหล็ก เคลือบไนล่อน","Measuring Tape On Nylon Coated Steel Wire",Active
C014005,ล้อวัดระยะ,"Wheel Gauge",Active
C015001,บักเต้า,Bugs,Active
C015002,สีฝุ่น,"Dust Color",Active
C016001,"แปรงทาสี #628","Paint Brush # 628",Active
C016002,"แปรงทาสี #635","Paint Brush # 635",Active
C016003,"แปรงทาสี #636","Paint Brush # 636",Active
C016004,"แปรงทาสี #638","Paint Brush # 638",Active
C016005,"แปรงทาสี #666","Paint Brush # 666",Active
C016006,"แปรงทาสี #888","Paint Brush # 888",Active
C016007,"แปรงทาสี Pro-111","Paint Brush Pro-111",Active
C016008,"แปรงทาสี Pro-888","Paint Brush Pro-888",Active
C016009,"แปรงทาสี Pro-999","Paint Brush Pro-999",Active
C016010,แปรงทาสีอเมริกาขนขาว,"Brushes Painted America White",Active
C016011,"แปรงวานิช No.168","Varnish Brush No.168",Active
C016012,"แปรงวานิช Pro-111","Pro-111 Varnish Brush",Active
C016013,"แปรงทาสี ECO-FRIENDLY","Paint brush ECO-FRIENDLY",Active
C017001,ด้ามจับฟองน้ำกระดาษทราย,"Sponge Handle, Sandpaper",Active
C017002,ถ้วยทาสี,"Painted Cup",Active
C017003,ถังทาสี,"Paint Bucket",Active
C017004,ถาดลูกกลิ้ง,"Roller Tray",Active
C017005,ถาดลูกกลิ้งทาสี,"Paint Roller Tray",Active
C017006,ที่โกยขยะ,"Dust Pan",Active
C017007,"เทป / พลาสติกกันเปื้อน","Tape / Plastic Apron",Active
C017008,แปรงลูกกลิ้งทาสี,"Brush Roller",Active
C017009,"แปรงลูกกลิ้งทาสี Davinci","Davinci Paint Roller Brush",Active
C017010,"แปรงลูกกลิ้งทาสี Epoxy","Epoxy Paint Roller Brush",Active
C017011,แปรงลูกกลิ้งทาสีขนแกะ,"Brush, Roller, Paint, Wool",Active
C017012,แปรงลูกกลิ้งทาสีน้ำ,"Brush Roller, Paint Water",Active
C017013,"แปรงลูกกลิ้งทาสีน้ำ Pro","Brush Brush",Active
C017014,แปรงลูกกลิ้งทาสีปิกัสโซ่,"Picasso Brush Roller Brush",Active
C017015,แปรงลูกกลิ้งทาสีฟองน้ำ,"Sponge Roller Brush",Active
C017016,แผ่นทาสี,"Paint Sheet",Active
C017017,ฟองน้ำกระดาษทราย,"Sponge Sandpaper",Active
C017018,ลูกกลิ้งขนแกะ,Roller,Active
C017019,อะไหล่แผ่นทาสี,"Paint Sheet Parts",Active
C017020,อะไหล่ลูกกลิ้ง,"Roller Parts",Active
C018001,ระดับน้ำ,"Water Level",Active
C018002,"ระดับน้ำ I-Beam",I-Beam,Active
C018003,"ระดับน้ำ รุ่นซุปเปอร์ฮิต","Super Model Water Hits",Active
C018004,"ระดับน้ำ รุ่นปรับขยาย","Expanded Water Level",Active
C018005,"ระดับน้ำ รุ่นแม่เหล็ก","Magnetic Water Level",Active
C018006,"ระดับน้ำ รุ่นสุดประหยัด","Water Level.",Active
C018007,"ระดับน้ำ รุ่นหนาพิเศษ","Special Water Level",Active
C018008,ระดับน้ำตอร์ปิโด,"Water Level Torpedo",Active
C018009,ระดับน้ำแม่เหล็กซ่อน,"Magnetic Water",Active
C018010,ระดับน้ำแม่เหล็กแถบ,"Magnetic Stripe Water Bar",Active
C018011,ระดับน้ำแม่เหล็กแถบ+หน้าต่าง,"Magnetic Water Bar + Window",Active
C018012,ระดับน้ำอลูมิเนียมหล่อ,"Aluminum Water Level Casting",Active
C018013,ระดับน้ำอินฟาเรด,"Water Levels Infrared",Active
C019001,เลื่อยฉลุฝ้า,Jar,Active
C019002,เลื่อยดึงพลูซอ,"Sawing Plow",Active
C019003,เลื่อยตัดอิฐมวลเบา,"Lightweight Brick Saw",Active
C019004,เลื่อยปังตอ,Chopper,Active
C019005,"เลื่อยลันดา Master Cut ชุบแข็งฟัน(ดำ)","Major Cutting Master Cut (Black)",Active
C019006,"เลื่อยลันดา Master Cut ฟันขาว","Land Master Cut White Teeth",Active
C019007,"เลื่อยลันดา Matsumoto","Landscape Matsumoto",Active
C019008,"เลื่อยลันดา Netto","Landscape Net",Active
C019009,"เลื่อยลันดา Spark","Little Spark",Active
C019010,"เลื่อยลันดา ด้ามดำ","Lathe Black Handle",Active
C020001,"สิ่ว รุ่นตอกได้",Chisel,Active
C021001,เหล็กมาร์ค,"Mark Iron",Active
C021002,เหล็กสกัด,"Iron Extract",Active
C021003,เหล็กส่ง,"Steel Transmission",Active
C021004,คีมเจาะรูเข็มขัด,"Revolving Punch",Active
C022001,ไม้บรรทัด,Ruler,Active
C023001,ปากกาจับ-ถ่างชิ้นงาน,"Clamp - Stretch",Active
C023002,ปากกาตัวf-ทรงเยอรมัน,"F-Shaped German Pen",Active
C023003,ปากกาตัวf-แบบฟันเฟือง,"F-Type Sprocket",Active
C023004,ปากกาจับชิ้นงาน,"T-Bar Clamp",Active
C024001,ปืนยิงซิลิโคน,"Clauking Gun",Active
C025001,แม่เหล็กจับฉากงานเชื่อม,แม่เหล็กจับฉากงานเชื่อม,Active
C026001,บันไดเหล็ก,"Steel Ladder",Active
C026002,บันไดอลูมิเนียม,Aluminium,Active
C027001,"อุปกรณ์ปาด / ขูด / ตัดร่องยาแนว และซิลิโคน","Spreader / Scraper / Cutting Tools",Active
D001001,กิ๊บรัดท่อสแตนเลส,"Stainless Steel Pipes",Active
D001002,"กิ๊บรัดท่อสแตนเลส 304","Stainless Steel Pipes 304",Active
D001003,กิ๊บรัดท่อสแตนเลสทรงหางปลา,"Stainless Steel Tube",Active
D001004,กิ๊บรัดท่อเหล็กทอง,"Gold Steel Pipes",Active
D002001,"กุญแจแขวน มาสเตอร์คีย์ ระบบลูกปืน","Master Key Holder, Bearing System",Active
D002002,"กุญแจแขวน ระบบลูกปืน","Hanging System Bearing",Active
D002003,"กุญแจแขวน รุ่นเหลี่ยม คอยาว","Hanging Hanger With Long Neck.",Active
D002004,"กุญแจแขวน รุ่นเหลี่ยม คอสั้น","Key Holder",Active
D002005,"กุญแจแขวน รุ่น Lucky Lock","Lucky Lock",Active
D003001,"ถ่าน Fujitsu","Fujitsu Charger",Active
D003002,"ถ่าน Fujitsu  Alk","Fujitsu Alk Charcoal",Active
D003003,"ถ่าน Fujitsu Cz","Charcoal Fujitsu Cz",Active
D003004,"ถ่าน Fujitsu Alk","Fujitsu Alk Charcoal",Active
D004001,ใบมีดคัตเตอร์ลามิเนต,"Laminated Knife Cutter",Active
D004002,ใบมีดเล็ก,"Small Knife",Active
D004003,ใบมีดสี่เหลี่ยมคางหมู,"Trapezium Knife",Active
D004004,ใบมีดใหญ่,"Big Knife",Active
D005001,พุกผีเสื้อพลาสติก,"Plastic Butterfly",Active
D006001,มีดคัดเตอร์เล็ก,"Small Knife",Active
D006002,"มีดคัตเตอร์ 9 Mm.","9 Mm Cutter",Active
D006003,มีดคัตเตอร์-ใบมีดสี่เหลี่ยมคางหมู,"Cutter Knife - Trapezoid Blade",Active
D006004,มีดคัตเตอร์ลามิเนต,"Laminated Knife Cutter",Active
D006005,มีดคัตเตอร์เล็ก,"Small Cutter",Active
D006006,มีดคัตเตอร์สแตนเลสเล็ก,"Small Stainless Steel Cutter",Active
D006007,มีดคัตเตอร์สแตนเลสใหญ่,"Large Stainless Steel Knife Cutter",Active
D006008,มีดคัตเตอร์ใหญ่,"Big Cutter",Active
D006009,"มีดคัตเตอร์ใหญ่ สปริง","Large Spring Cutter",Active
D006010,"มีดคัตเตอร์ใหญ่ ออโต้โหลด","Large Auto Cutter",Active
D006011,มีดอิเล็กทรอนิกส์,"Electronic Knife",Active
D007001,บานพับข้อศอก,"Elbow Hinges",Active
D007002,บานพับสแตนเลส,"Stainless Steel Hinges",Active
D007003,บานพับเหล็ก,"Steel Hinge",Active
